step,ep_return,ep_len,value_loss,policy_loss,entropy,approx_kl,clipfrac
39522,22.0,22,,,,,
39668,146.0,146,,,,,
39875,207.0,207,,,,,
40096,221.0,221,,,,,
40358,262.0,262,,,,,
40661,303.0,303,,,,,
40712,51.0,51,,,,,
40799,87.0,87,,,,,
40959,160.0,160,,,,,
40960,,,60.125606536865234,-4.748697280883789,0.6194067597389221,0.025363169610500336,0.22265625
41025,66.0,66,,,,,
41063,38.0,38,,,,,
41095,32.0,32,,,,,
41157,62.0,62,,,,,
41185,28.0,28,,,,,
41234,49.0,49,,,,,
41247,13.0,13,,,,,
41276,29.0,29,,,,,
41303,27.0,27,,,,,
41364,61.0,61,,,,,
41518,154.0,154,,,,,
41585,67.0,67,,,,,
41660,75.0,75,,,,,
41834,174.0,174,,,,,
41851,17.0,17,,,,,
41874,23.0,23,,,,,
41903,29.0,29,,,,,
42028,125.0,125,,,,,
42065,37.0,37,,,,,
42099,34.0,34,,,,,
42145,46.0,46,,,,,
42266,121.0,121,,,,,
42311,45.0,45,,,,,
42340,29.0,29,,,,,
42378,38.0,38,,,,,
42450,72.0,72,,,,,
42487,37.0,37,,,,,
42636,149.0,149,,,,,
42672,36.0,36,,,,,
42693,21.0,21,,,,,
42779,86.0,86,,,,,
42804,25.0,25,,,,,
42868,64.0,64,,,,,
42891,23.0,23,,,,,
42909,18.0,18,,,,,
42945,36.0,36,,,,,
42995,50.0,50,,,,,
43008,,,142.89874267578125,3.6424245834350586,0.44075673818588257,0.4734210968017578,0.484375
43081,86.0,86,,,,,
43250,169.0,169,,,,,
43427,177.0,177,,,,,
43570,143.0,143,,,,,
43765,195.0,195,,,,,
44027,262.0,262,,,,,
44347,320.0,320,,,,,
44520,173.0,173,,,,,
44797,277.0,277,,,,,
45056,,,35.917503356933594,-5.736641883850098,0.612683892250061,0.019512910395860672,0.171875
45089,292.0,292,,,,,
45435,346.0,346,,,,,
45654,219.0,219,,,,,
45860,206.0,206,,,,,
46218,358.0,358,,,,,
46384,166.0,166,,,,,
46597,213.0,213,,,,,
46783,186.0,186,,,,,
46960,177.0,177,,,,,
47022,62.0,62,,,,,
47104,,,31.48161506652832,-5.361385345458984,0.6297267079353333,0.016422642394900322,0.1328125
47231,209.0,209,,,,,
47294,63.0,63,,,,,
47388,94.0,94,,,,,
47420,32.0,32,,,,,
47500,80.0,80,,,,,
47529,29.0,29,,,,,
47677,148.0,148,,,,,
47724,47.0,47,,,,,
47746,22.0,22,,,,,
47937,191.0,191,,,,,
47955,18.0,18,,,,,
48079,124.0,124,,,,,
48201,122.0,122,,,,,
48255,54.0,54,,,,,
48408,153.0,153,,,,,
48615,207.0,207,,,,,
48751,136.0,136,,,,,
48844,93.0,93,,,,,
48960,116.0,116,,,,,
49008,48.0,48,,,,,
49037,29.0,29,,,,,
49062,25.0,25,,,,,
49152,,,146.36424255371094,1.0856273174285889,0.5250748991966248,0.04070636257529259,0.2578125
49265,203.0,203,,,,,
49313,48.0,48,,,,,
49476,163.0,163,,,,,
49657,181.0,181,,,,,
49849,192.0,192,,,,,
49985,136.0,136,,,,,
50100,115.0,115,,,,,
50304,204.0,204,,,,,
50421,117.0,117,,,,,
50475,54.0,54,,,,,
50601,126.0,126,,,,,
50796,195.0,195,,,,,
51068,272.0,272,,,,,
51200,,,55.585968017578125,-3.884357452392578,0.5844944715499878,0.022302407771348953,0.1640625
51234,166.0,166,,,,,
51294,60.0,60,,,,,
51450,156.0,156,,,,,
51597,147.0,147,,,,,
51631,34.0,34,,,,,
51782,151.0,151,,,,,
51838,56.0,56,,,,,
51978,140.0,140,,,,,
52028,50.0,50,,,,,
52137,109.0,109,,,,,
52278,141.0,141,,,,,
52605,327.0,327,,,,,
52742,137.0,137,,,,,
52872,130.0,130,,,,,
52975,103.0,103,,,,,
53148,173.0,173,,,,,
53181,33.0,33,,,,,
53248,,,95.95797729492188,-0.9098401665687561,0.5327216386795044,0.12105561792850494,0.31640625
53386,205.0,205,,,,,
53439,53.0,53,,,,,
53666,227.0,227,,,,,
53718,52.0,52,,,,,
53944,226.0,226,,,,,
53981,37.0,37,,,,,
54230,249.0,249,,,,,
54409,179.0,179,,,,,
54588,179.0,179,,,,,
54811,223.0,223,,,,,
54945,134.0,134,,,,,
55229,284.0,284,,,,,
55296,,,57.35418701171875,-2.705801248550415,0.6178704500198364,0.019255641847848892,0.11328125
55384,155.0,155,,,,,
55426,42.0,42,,,,,
55569,143.0,143,,,,,
55621,52.0,52,,,,,
55673,52.0,52,,,,,
55701,28.0,28,,,,,
55713,12.0,12,,,,,
55749,36.0,36,,,,,
55773,24.0,24,,,,,
55841,68.0,68,,,,,
55993,152.0,152,,,,,
56161,168.0,168,,,,,
56312,151.0,151,,,,,
56351,39.0,39,,,,,
56473,122.0,122,,,,,
56513,40.0,40,,,,,
56708,195.0,195,,,,,
56757,49.0,49,,,,,
56827,70.0,70,,,,,
56969,142.0,142,,,,,
56999,30.0,30,,,,,
57154,155.0,155,,,,,
57213,59.0,59,,,,,
57238,25.0,25,,,,,
57335,97.0,97,,,,,
57344,,,126.60357666015625,2.4895825386047363,0.4602217674255371,0.22134049236774445,0.3984375
57556,221.0,221,,,,,
57676,120.0,120,,,,,
57853,177.0,177,,,,,
58018,165.0,165,,,,,
58157,139.0,139,,,,,
58323,166.0,166,,,,,
58562,239.0,239,,,,,
58725,163.0,163,,,,,
59016,291.0,291,,,,,
59142,126.0,126,,,,,
59299,157.0,157,,,,,
59392,,,16.263620376586914,-3.7240278720855713,0.6271535158157349,0.020664308220148087,0.234375
59469,170.0,170,,,,,
59535,66.0,66,,,,,
59609,74.0,74,,,,,
59750,141.0,141,,,,,
59850,100.0,100,,,,,
59995,145.0,145,,,,,
60230,235.0,235,,,,,
60406,176.0,176,,,,,
60575,169.0,169,,,,,
60751,176.0,176,,,,,
60921,170.0,170,,,,,
61067,146.0,146,,,,,
61191,124.0,124,,,,,
61245,54.0,54,,,,,
61363,118.0,118,,,,,
61440,,,87.87779998779297,-1.5388519763946533,0.55908203125,0.02763884887099266,0.1640625
61519,156.0,156,,,,,
61631,112.0,112,,,,,
61786,155.0,155,,,,,
61937,151.0,151,,,,,
62279,342.0,342,,,,,
62315,36.0,36,,,,,
62513,198.0,198,,,,,
62554,41.0,41,,,,,
62698,144.0,144,,,,,
62733,35.0,35,,,,,
62895,162.0,162,,,,,
63019,124.0,124,,,,,
63134,115.0,115,,,,,
63253,119.0,119,,,,,
63488,,,59.11867141723633,-1.7006453275680542,0.562209963798523,0.1404070258140564,0.30859375
63753,500.0,500,,,,,
63981,228.0,228,,,,,
64133,152.0,152,,,,,
64344,211.0,211,,,,,
64534,190.0,190,,,,,
64593,59.0,59,,,,,
64657,64.0,64,,,,,
65068,411.0,411,,,,,
65309,241.0,241,,,,,
65536,,,42.51819610595703,-3.5906786918640137,0.5991467833518982,0.011259078979492188,0.12109375
65563,254.0,254,,,,,
65710,147.0,147,,,,,
65890,180.0,180,,,,,
66115,225.0,225,,,,,
66159,44.0,44,,,,,
66219,60.0,60,,,,,
66338,119.0,119,,,,,
66401,63.0,63,,,,,
66585,184.0,184,,,,,
66633,48.0,48,,,,,
66673,40.0,40,,,,,
66842,169.0,169,,,,,
66943,101.0,101,,,,,
66990,47.0,47,,,,,
67044,54.0,54,,,,,
67121,77.0,77,,,,,
